Location,Address,Period,Maximum Temperature,Minimum Temperature,Temperature,Heat Index,Precipitation,Wind Speed,Cloud Cover,Relative Humidity,,Disease
"Karjat, MH, India","Karjat, MH, India",Week 4 (Jan) 2018,31.1,17.3,24.7,30.2,0,20.5,3.3,51.97,,Blast
"Karjat, MH, India","Karjat, MH, India",Week 5 (Jan) 2018,35.1,18.1,26.8,35,0,20.5,1.3,46.94,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 6 (Feb) 2018,34.1,19.1,25.8,33,0,22.3,26.1,56.2,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 7 (Feb) 2018,34.1,17.2,27.1,35.4,0,24.1,6.7,48.9,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 8 (Feb) 2018,37.1,20.2,28.5,37.5,0,22.3,3.1,48.35,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 9 (Feb) 2018,38.1,22.6,29.6,42.2,0,20.5,7,49.52,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 10 (Mar) 2018,38.1,23.6,29.1,42.2,0,25.9,18.7,52.31,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 11 (Mar) 2018,39.1,23.7,29.5,36.7,3,22.3,43,45.09,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 12 (Mar) 2018,41.1,21.3,28.4,42.4,0,27.7,10.4,59.01,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 13 (Mar) 2018,38.4,23,29,39.3,0,25.9,26,66.06,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 14 (Apr) 2018,34.4,24.2,29.4,39.5,0,25.9,8.9,62.18,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 15 (Apr) 2018,34.7,24.3,29.4,40.7,0,27.7,18.9,65.92,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 16 (Apr) 2018,37.3,23.3,30.8,43.7,30,25.9,15.4,63.55,,False Smut
